Updated 2021-02-25 20:02:30.753024
Gloss,Algonquian,Analysis,English
go.1S.E.E/O,nutôm,nu+ô+m,I go
sit.1S.E.E/O,nutap,nu+apu+m,I sit
go.1P.E.E/O,nutômun,nu+ô+m+nôn,We go
eat.1S.E.E/O,numits,nu+mitsu+m,I eat
go.2S.E.E/O,kutôm,ku+ô+m,You go
cook.1S.E.E/O,nutapos,nu+aposu+m,I cook
hunt.1S.E.E/O,nutacám,nu+acá+m,I hunt
read.1S.E.E/O,nutakitus,nu+akitusu+m,I read
stop.1S.E.E/O,nutáhqim,nu+áhqi+m,I stop
work.1S.E.E/O,nutarhkôs,nu+arhkôsu+m,I work
sit.1P.E.E/O,nutapumun,nu+apu+m+nôn,We sit
talk.1S.E.E/O,nukikutok,nu+kikutok+m,I talk
eat.1P.E.E/O,numitsumun,nu+mitsu+m+nôn,We eat
go.2P.E.E/O,kutômuw,ku+ô+m+wôw,Yall go
sit.2S.E.E/O,kutap,ku+apu+m,You sit
eat.2S.E.E/O,kumits,ku+mitsu+m,You eat
cheat.1S.E.E/O,nutasokikámám,nu+asokikámá+m,I cheat
count.1S.E.E/O,nutakis,nu+akisu+m,I count
exist.1S.E.E/O,nutay,nu+ayu+m,I exist
fight.1S.E.E/O,nutayitiyám,nu+ayitiyá+m,I fight
think.1S.E.E/O,nutarôtam,nu+arôta+m,I think
cook.1P.E.E/O,nutaposumun,nu+aposu+m+nôn,We cook
hunt.1P.E.E/O,nutacámun,nu+acá+m+nôn,We hunt
read.1P.E.E/O,nutakitusumun,nu+akitusu+m+nôn,We read
stop.1P.E.E/O,nutáhqimun,nu+áhqi+m+nôn,We stop
work.1P.E.E/O,nutarhkôsumun,nu+arhkôsu+m+nôn,We work
sting.1S.E.E/O,nucáhkow,nu+cáhkow+m,I sting
stand.1S.E.E/O,nunipaw,nu+nipawu+m,I stand
talk.1P.E.E/O,nukikutokumun,nu+kikutok+m+nôn,We talk
sit.2P.E.E/O,kutapumuw,ku+apu+m+wôw,Yall sit
cook.2S.E.E/O,kutapos,ku+aposu+m,You cook
hunt.2S.E.E/O,kutacám,ku+acá+m,You hunt
read.2S.E.E/O,kutakitus,ku+akitusu+m,You read
stop.2S.E.E/O,kutáhqim,ku+áhqi+m,You stop
work.2S.E.E/O,kutarhkôs,ku+arhkôsu+m,You work
eat.2P.E.E/O,kumitsumuw,ku+mitsu+m+wôw,Yall eat
talk.2S.E.E/O,kukikutok,ku+kikutok+m,You talk
exceed.1S.E.E/O,nutanirám,nu+anirá+m,I exceed
remain.1S.E.E/O,nutasqitiyám,nu+asqitiyá+m,I remain
sneeze.1S.E.E/O,nutan,nu+anu+m,I sneeze
cheat.1P.E.E/O,nutasokikámámun,nu+asokikámá+m+nôn,We cheat
count.1P.E.E/O,nutakisumun,nu+akisu+m+nôn,We count
exist.1P.E.E/O,nutayumun,nu+ayu+m+nôn,We exist
fight.1P.E.E/O,nutayitiyámun,nu+ayitiyá+m+nôn,We fight
think.1P.E.E/O,nutarôtamun,nu+arôta+m+nôn,We think
sting.1P.E.E/O,nucáhkowumun,nu+cáhkow+m+nôn,We sting
stand.1P.E.E/O,nunipawumun,nu+nipawu+m+nôn,We stand
go.12P.E.E/O,kutômun,ku+ô+m+nôn,We-inc go
cook.2P.E.E/O,kutaposumuw,ku+aposu+m+wôw,Yall cook
hunt.2P.E.E/O,kutacámuw,ku+acá+m+wôw,Yall hunt
read.2P.E.E/O,kutakitusumuw,ku+akitusu+m+wôw,Yall read
