updated_210228
eng,transivity,TA,TI,AI,II,spelling_regularity,word_order_regularity
be_ashamed,intrans,-,-,akacu,-,-,-
be_dressed,intrans,-,-,aqu,-,-,-
be_green,intrans,-,-,askasqisu,askasqáyu,-,-
be_few_in_number,intrans,-,-,akôhsihsu,-,-,-
call__something,monotrans,ahuy,-,-,-,-,-
cheat,intrans,-,-,asokikámá,-,-,-
cook,intrans,-,-,aposu,-,-,-
cover,monotrans,-,apqá,-,-,-,-
cover,intrans,-,-,-,apqôsu,-,-
count,intrans,-,-,akisu,-,-,-
eat,monotrans,moh,mic,mitsu,-,-,-
exceed,intrans,-,-,anirá,-,-,-
feed,ditrans,ahsam,-,-,-,-,-
get,monotrans,-,ahtaw,-,-,-,-
give,ditrans,mir/mis,mir/mis,-,-,irregular,-
go,intrans,-,-,ô,-,-,-
grab,monotrans,numun,nimunum,-,-,-,-
have,monotrans,wacôn,wacônum,-,-,-,-
have_an_advantage_over,monotrans,aniruham,-,-,-,-,-
hear,monotrans,putaw,putam,-,-,-,-
help,monotrans,arunamaw,-,-,-,-,-
hold,monotrans,mihkun,mihkunum,-,-,-,-
hunt,intrans,-,-,acá,-,-,-
know,monotrans,wáh,wáhto,-,-,-,-
learn,monotrans,-,nuhtuhtaw,-,-,-,-
lie_upon,monotrans,-,apsun,-,-,-,-
like,monotrans,wurárum,wurárutam,-,-,-,-
listen_to,monotrans,kuhkihtaw,kuhkitam,-,-,-,-
look_at,monotrans,kuhkinaw,kuhkinam,-,-,-,-
paint,monotrans,-,arakunum,-,-,-,-
pay_attention_to,monotrans,kuhkinahsu,kuhkinahsu,-,-,-,-
put_down,monotrans,pon,ponu,-,-,-,-
put__on,monotrans,-,aqunum,-,-,-,-
read,intrans,-,-,akitusu,-,-,-
remember,monotrans,mihqônumaw,mihqôtam,-,-,-,-
resemble,intrans,-,-,-,aquniwôqat,-,-
see,monotrans,náw,nám,-,-,-,-
show,ditrans,kuhkotumaw,náhtus,-,-,irregular,-
sit,intrans,-,-,apu,-,-,-
smell_good,intrans,-,-,wuripuqus,wurimoqat,-,-
sneeze,intrans,-,-,anu,-,-,-
stand,intrans,-,-,nipawu,-,-,-
talk,intrans,-,-,kikutok,-,-,-
talk_to,monotrans,kikitokaw,-,-,-,-,-
tell,ditrans,ur,-,-,-,-,-
think,intrans,-,-,arôta,-,-,-
work,intrans,-,-,arhkôsu,-,-,-
be_foolish,intrans,-,-,asoku,-,-,-
remain,intrans,-,-,asqitiyá,-,-,-
leave__behind,monotrans,asqitiyám,-,-,-,-,-
wait_for,monotrans,-,asquhum,-,-,-,-
fight,intrans,-,-,ayitiyá,-,-,-
go_against,monotrans,ayiyukôná,-,-,-,-,-
exist,intrans,-,-,ayu,-,-,-
make,monotrans,ayiyaw,ayum,-,-,-,-
make__do_something,monotrans,ayumawáw,-,-,-,-,-
be_diligent,intrans,-,-,áhciyu,-,-,-
stop,intrans,-,-,áhqi,-,-,-
forgive,monotrans,áhqôhtamaw,áhqôhtam,-,-,-,-
buy,monotrans,-,áhtohu,-,-,-,-
take__away,monotrans,-,ámáwunam,-,-,-,-
decorate,monotrans,-,áqátum,-,-,-,-
has_power_over,monotrans,árunáw,árunum,-,-,-,-
make__calm,monotrans,-,áypônihtu,-,-,-,-
sting,monotrans,cáhkowá,-,cáhkow,-,-,-
be_solid,intrans,-,-,-,cáhsun,-,-
seek,monotrans,cáyá,-,-,-,-,-
be_in_a_hurry,intrans,-,-,cáyhqatum,-,-,-
burn,monotrans,cikásá,cikásum,-,cikáhtu,-,-
